,0,1,2,3
37,2008-08-04,002110,1843.2150138493125,1788.6558494393732
38,2008-08-04,000911,47542.62502852862,47478.09484103931
39,2008-08-04,600011,-53035.55959070563,-53078.92181439299
40,2009-08-04,000761,72584.979878356,72525.85065198888
41,2009-08-04,600104,145935.3201457898,145861.55839993618
42,2009-08-04,600098,39853.86385267599,39802.04070545329
43,2009-08-04,000043,62688.194391036,62631.01330767918
44,2009-08-04,600641,140233.81318938246,140160.73792563283
45,2009-08-04,600006,45120.41155853324,45067.00337498445
46,2009-08-04,600019,38008.88299194631,37957.09907753446
47,2009-08-04,000898,60638.05847449447,60581.699664557185
48,2009-08-04,000027,78923.78271818293,78863.19606587171
49,2009-08-04,600533,108391.55224532331,108325.71896259981
50,2009-08-04,600301,22948.078904906375,22899.474121389754
51,2009-08-04,000919,63018.15023994723,62961.81620662119
52,2009-08-04,000959,64434.40161851633,64376.822414030285
53,2009-08-04,000039,35542.4439397064,35490.93417662403
54,2009-08-04,000021,97560.96483996279,97497.13242663161
55,2009-08-04,600012,21693.926385908497,21645.235573353457
56,2009-08-04,600270,2245.975162964299,2201.3293072536044
57,2009-08-04,600642,64558.91019042826,64501.70007558687
58,2009-08-05,000778,128520.95951056066,128450.70952670657
59,2009-08-07,600102,68577.81165003363,68520.21666572226
60,2011-08-02,000916,-42408.15809576971,-42468.15489086372
61,2011-08-02,600012,-11414.580873110286,-11481.153654460555
62,2011-08-02,600317,-11800.425331986424,-11866.87483818921
63,2011-08-02,600377,-10653.562629605209,-10720.389522463642
64,2011-08-02,600350,-48512.475053246584,-48571.482834186834
65,2011-08-02,000900,-19948.399481107965,-20013.044571364895
66,2011-08-02,601988,-46953.36388746924,-47012.74608297398
67,2011-08-02,000581,347402.4768338638,347263.9803964166
68,2011-08-02,000989,28498.6793812732,28424.34487524379
69,2011-08-02,002103,-15713.088405025996,-15778.392000437283
70,2011-08-02,000088,-25465.197406647083,-25528.440644162492
71,2011-08-02,601398,-23831.51741428942,-23895.385880959715
72,2011-08-02,601939,-34017.23302051343,-34078.66414132106
73,2011-08-02,002222,97847.08968114865,97758.67278199474
74,2011-08-02,601009,-65390.09698624132,-65445.65373699722
75,2011-08-02,600886,-76439.14515823672,-76492.93645148232
76,2011-08-02,000419,48490.88096149302,48412.54801514757
77,2011-08-02,002254,72154.50195587937,72071.11630971661
78,2011-08-02,600664,19643.60908790886,19570.908090674508
79,2012-08-02,600019,-42918.515600493156,-42981.9942903655
80,2012-08-02,000488,-70366.34656547771,-70424.55053070685
81,2012-08-02,600548,-38250.34987703341,-38314.43639137829
82,2012-08-02,000402,-3322.9332178153263,-3394.111038961088
83,2012-08-02,601988,-8484.724019670875,-8555.29695945802
84,2012-08-02,600011,69682.2357271613,69595.82975485962
85,2012-08-02,600004,-19786.313848453214,-19854.550822994923
86,2012-08-02,600533,663.0798332145183,590.4776920916277
87,2012-08-02,600012,-35695.18421212662,-35760.51470044044
88,2012-08-02,600177,-13495.09254202222,-13564.265868869938
89,2012-08-02,600356,-25302.271628992945,-25369.776180093693
90,2012-08-02,600820,-37229.231195336615,-37294.17886391363
91,2012-08-02,601939,-17522.28482336283,-17590.985404236315
92,2012-08-02,600377,-3612.6383427840224,-3684.313087504858
93,2012-08-02,600900,3138.253920823539,3065.1567448831265
94,2012-08-02,600795,2276.3669050626854,2203.7041926854145
95,2012-08-02,600030,2657.3424625130237,2585.214595673385
96,2012-08-02,601398,-11255.286973164715,-11325.069752398336
97,2012-08-02,600246,-44323.32423832209,-44386.77245395064
98,2012-08-02,601788,3964.4160369938686,3891.6293585546614
99,2013-08-02,600035,0.0,-66.92856431417887
100,2013-08-02,600033,-19143.30927982281,-19206.224240959476
101,2013-08-02,600282,-36704.683189216084,-36764.41171913308
102,2013-08-02,601988,6784.483611038741,6716.25109015058
103,2013-08-02,600012,-12677.181624131706,-12741.71565436172
104,2013-08-02,601233,-48973.448073770094,-49030.547161210365
105,2013-08-02,600004,3051.8761547973354,2984.1963130115355
106,2013-08-02,000778,-39230.91842559806,-39289.82707453554
107,2013-08-02,601939,25560.01011998486,25487.69233135205
108,2013-08-02,601288,10010.368142513456,9941.296602330114
109,2013-08-02,002202,-5726.315180776081,-5791.905349242555
110,2013-08-02,601799,29023.475649319404,28950.727676659262
111,2013-08-02,002206,-19454.332780605342,-19517.860337245867
112,2013-08-02,002610,7664.013736757112,7595.411467454921
113,2013-08-02,601398,18710.366206285897,18639.698592383695
114,2013-08-02,300126,11410.684290993584,11341.628520136237
115,2013-08-02,300225,59166.09842565663,59086.54076415733
116,2013-08-02,600480,-16856.08286431171,-16919.98389423792
117,2013-08-02,601006,14236.4433724897,14166.526617260362
118,2013-08-02,002366,9293.233868152965,9224.305754824494
119,2014-08-04,600269,13384.44072006356,13314.79063997363
120,2014-08-04,601328,42097.557498876755,42022.03703209089
121,2014-08-04,600015,73239.73569902254,73157.71938473212
122,2014-08-04,000900,11485.07021608423,11416.054951823096
123,2014-08-04,600000,51676.29662003936,51598.65906814228
124,2014-08-04,600012,55427.469411807804,55349.870954631275
125,2014-08-04,601988,14867.57665023217,14797.884884684207
126,2014-08-04,600425,79406.89622630701,79324.09910819001
127,2014-08-04,600177,58988.94294826703,58910.07979696589
128,2014-08-04,000157,-16743.473146284687,-16807.358394234812
129,2014-08-04,601288,15323.979732030371,15253.960932331709
130,2014-08-04,600397,52808.791691919985,52731.18162841561
131,2014-08-04,601939,5609.056434249654,5540.8621165490395
132,2014-08-04,600036,15674.769629510594,15604.546661570386
133,2014-08-04,600795,11522.392887812293,11453.079787867666
134,2014-08-04,600863,78645.4704184443,78563.48671729918
135,2014-08-04,600622,20218.119864217926,20146.52557011123
136,2014-08-04,600859,23438.224276047717,23366.418778462343
137,2014-08-04,600018,146713.20909123842,146617.14819920226
138,2014-08-04,601398,-2920.5459725741744,-2987.069519727253
139,2015-08-04,000488,192534.48018863783,192415.74602792974
140,2015-08-04,601800,570089.7784230729,569895.1723267011
141,2015-08-04,601669,549921.5899220163,549723.2910587358
142,2015-08-04,600350,294716.45306948735,294577.38710856275
143,2015-08-04,601328,122643.46134505593,122538.03100109263
144,2015-08-04,601818,149002.27488019288,148887.95416929343
145,2015-08-04,601988,139686.33910436116,139577.78580910145
146,2015-08-04,600000,131436.1371695695,131328.94510193233
147,2015-08-04,601998,144808.88617075564,144699.37222686532
148,2015-08-04,601009,218856.3266509937,218731.92264100048
149,2015-08-04,601288,90428.55112728143,90329.79534266905
150,2015-08-04,601939,110117.58241171601,110015.01182872192
151,2015-08-04,601398,81517.85806174546,81421.14464179259
152,2015-08-04,600795,260547.6309557789,260415.4561095712
153,2015-08-04,600036,138818.44845549625,138710.27491746465
154,2015-08-04,600012,212192.65534303326,212069.80696362414
155,2015-08-04,600266,213322.16144441106,213198.9882890834
156,2015-08-04,601088,28427.724160789116,28341.425712443863
157,2015-08-04,600177,255140.41283906833,255008.64421052713
158,2015-08-04,600027,271782.3845083389,271647.32789483556
159,2016-08-02,600028,-59953.73924766109,-60099.53329394372
160,2016-08-02,601328,-59386.016548476146,-59531.0668938958
161,2016-08-02,601288,-24457.141148547453,-24609.12481139914
162,2016-08-02,601398,-22382.65149755453,-22534.089242077007
163,2016-08-02,600015,-26317.272371354233,-26469.106054051546
164,2016-08-02,601088,-48915.82416704497,-49063.1960968759
165,2016-08-02,600000,60632.43724217445,60463.80250429682
166,2016-08-02,601818,-47474.53179050698,-47621.70283905755
167,2016-08-02,601166,7877.955882301423,7720.159728814688
168,2016-08-02,601988,-77670.77546106276,-77811.05358886516
169,2016-08-02,601939,-48595.09328710678,-48741.56663908544
170,2016-08-02,600720,-63556.860615848076,-63701.373722537
171,2016-08-02,600104,93364.47123821214,93188.5738651524
172,2016-08-02,600036,-1112.914586185964,-1268.7833326839736
173,2016-08-02,600548,59715.57686144559,59549.80642007822
174,2016-08-02,600585,-76916.13991058119,-77062.20168806266
175,2016-08-02,600864,-77192.02121314795,-77333.69229029288
176,2016-08-02,600741,-10451.18998114135,-10606.324221957211
177,2016-08-02,600004,-20336.499591894713,-20489.4567396449
178,2016-08-02,000002,86594.92115814437,86420.37769510064
179,2017-08-02,601328,72347.98526577369,72184.32913358629
180,2017-08-02,601988,88766.31790123359,88599.21178531158
181,2017-08-02,601818,49986.24875535516,49826.89865326233
182,2017-08-02,601288,97327.09572033997,97158.63136556586
183,2017-08-02,601939,147943.86316872263,147764.92154374713
184,2017-08-02,601398,128885.97998381348,128711.29246244486
185,2017-08-02,601006,181783.30871249744,181597.59919841317
186,2017-08-02,000539,29524.451711905742,29368.602610542246
187,2017-08-02,600027,-34485.69281551426,-34626.44553211684
188,2017-08-02,601009,44717.0872910316,44558.924173848885
189,2017-08-02,600023,41707.5784465016,41550.08268598695
190,2017-08-02,600383,130055.76893639419,129880.71011528252
191,2017-08-02,600859,15664.783931113781,15512.481068367477
192,2017-08-02,600361,-6846.561665961391,-6994.545205969956
193,2017-08-02,600011,18827.96751865842,18675.037352488118
194,2017-08-02,600104,142975.24531403396,142798.8417659007
195,2017-08-02,600741,149017.90058052973,148839.20975477542
196,2017-08-02,000543,-89512.55903197326,-89643.42180289036
197,2017-08-02,000600,76443.39648302774,76279.8828047801
198,2017-08-02,600177,18553.63072907602,18400.362549146823
199,2018-08-02,601328,-36579.819303454235,-36744.70987354519
200,2018-08-02,601988,-25618.619094056776,-25785.86269460413
201,2018-08-02,601288,3246.0889711142545,3073.072428953865
202,2018-08-02,601398,16171.327341196653,15995.725751362246
203,2018-08-02,600028,67008.1946291337,66823.16725850954
204,2018-08-02,601939,19798.949420438064,19622.62230618781
205,2018-08-02,600023,-30448.120172466577,-30614.39787279825
206,2018-08-02,600325,-80224.85954677228,-80380.99610137405
207,2018-08-02,601088,-55536.705387884365,-55715.2369957805
208,2018-08-02,600376,-142899.4421122801,-143042.76624709438
209,2018-08-02,600383,-104109.94421406074,-104261.05795376812
210,2018-08-02,000899,-186987.19579069124,-187121.90974817192
211,2018-08-02,002478,-92404.34697976,-92557.38790475785
212,2018-08-02,000625,-179759.99949614902,-179896.30244553255
213,2018-08-02,002394,-117718.93890637705,-117868.36858383978
214,2018-08-02,000726,-48757.44635838616,-48920.06219348065
215,2018-08-02,000776,-115001.88884598025,-115151.74362462731
216,2018-08-02,600104,42429.03834364019,42248.240158154345
217,2018-08-02,600741,30419.72885713152,30241.118362565012
218,2018-08-02,600873,-126923.77215566454,-127069.92470638112
219,2019-08-02,000536,23388.723993895295,23232.74141733354
220,2019-08-02,600376,30087.726260902164,29929.826384529133
221,2019-08-02,000550,160474.8597430165,160291.2800376725
222,2019-08-02,000863,70987.16748886225,70821.08772424363
223,2019-08-02,002674,307025.9392903089,306813.76992346096
224,2019-08-02,600383,152975.84667885938,152794.24166422032
225,2019-08-02,002394,6626.1259783375535,6473.225720617132
226,2019-08-02,600028,-61327.7536375504,-61467.12753575112
227,2019-08-02,600210,49134.742663993515,48972.535817325544
228,2019-08-02,000876,771925.8112473427,771618.5953127026
229,2019-08-02,600664,-20008.128449875763,-20156.009155306638
230,2019-08-02,000581,-39094.90653006834,-39239.04877979545
231,2019-08-02,000631,-49895.18032666818,-50035.35423374048
232,2019-08-02,002083,27972.05941489028,27815.415882166893
233,2019-08-02,600873,73337.46845549655,73171.2657902986
234,2019-08-02,000036,47020.980178682454,46858.91757709573
235,2019-08-02,601225,114610.59342248249,114435.60261398865
236,2019-08-02,601566,-30448.108833189464,-30592.548293262204
237,2019-08-02,600104,-75527.69278967899,-75664.51919897439
238,2019-08-02,600162,-44080.79150346528,-44223.85767628544
