,datetime,value
302,2006-04-07,300000.0
303,2006-04-10,300000.0
304,2006-04-11,300000.0
305,2006-04-12,300000.0
306,2006-04-13,300000.0
307,2006-04-14,300000.0
308,2006-04-17,300000.0
309,2006-04-18,300000.0
310,2006-04-19,300000.0
311,2006-04-20,300000.0
312,2006-04-21,300000.0
313,2006-04-24,300000.0
314,2006-04-25,300000.0
315,2006-04-26,300000.0
316,2006-04-27,300000.0
317,2006-04-28,300000.0
318,2006-05-08,300000.0
319,2006-05-09,300000.0
320,2006-05-10,300000.0
321,2006-05-11,300000.0
322,2006-05-12,300000.0
323,2006-05-15,300000.0
324,2006-05-16,300000.0
325,2006-05-17,300000.0
326,2006-05-18,300000.0
327,2006-05-19,300000.0
328,2006-05-22,300000.0
329,2006-05-23,300000.0
330,2006-05-24,300000.0
331,2006-05-25,300000.0
332,2006-05-26,300000.0
333,2006-05-29,300000.0
334,2006-05-30,300000.0
335,2006-05-31,300000.0
336,2006-06-01,300000.0
337,2006-06-02,300000.0
338,2006-06-05,300000.0
339,2006-06-06,300000.0
340,2006-06-07,300000.0
341,2006-06-08,300000.0
342,2006-06-09,300000.0
343,2006-06-12,300000.0
344,2006-06-13,300000.0
345,2006-06-14,300000.0
346,2006-06-15,300000.0
347,2006-06-16,300000.0
348,2006-06-19,300000.0
349,2006-06-20,300000.0
350,2006-06-21,300000.0
351,2006-06-22,300000.0
352,2006-06-23,300000.0
353,2006-06-26,300000.0
354,2006-06-27,300000.0
355,2006-06-28,300000.0
356,2006-06-29,300000.0
357,2006-06-30,300000.0
358,2006-07-03,300000.0
359,2006-07-04,300000.0
360,2006-07-05,300000.0
361,2006-07-06,300000.0
362,2006-07-07,300000.0
363,2006-07-10,300000.0
364,2006-07-11,300000.0
365,2006-07-12,300000.0
366,2006-07-13,300000.0
367,2006-07-14,300000.0
368,2006-07-17,300000.0
369,2006-07-18,300000.0
370,2006-07-19,300000.0
371,2006-07-20,300000.0
372,2006-07-21,300000.0
373,2006-07-24,300000.0
374,2006-07-25,300000.0
375,2006-07-26,300000.0
376,2006-07-27,300000.0
377,2006-07-28,300000.0
378,2006-07-31,300000.0
379,2006-08-01,300000.0
380,2006-08-02,299818.51200785243
381,2006-08-03,300350.63439611945
382,2006-08-04,298463.48464666994
383,2006-08-07,298196.16246754065
384,2006-08-08,298196.16246754065
385,2006-08-09,298032.29158723116
386,2006-08-10,297949.06262047973
387,2006-08-11,297946.38765132194
388,2006-08-14,297072.2744257177
389,2006-08-15,297083.51995369256
390,2006-08-16,297083.51995369256
391,2006-08-17,296465.2589988502
392,2006-08-18,296555.90704490175
393,2006-08-21,296555.90704490175
394,2006-08-22,296555.90704490175
395,2006-08-23,296142.57746217004
396,2006-08-24,296461.45575991966
397,2006-08-25,296562.4095054105
398,2006-08-28,297520.4837012522
399,2006-08-29,297220.4414573796
400,2006-08-30,298060.19507059676
401,2006-08-31,297934.6080372306
402,2006-09-01,296933.0362967701
403,2006-09-04,298140.9822244217
404,2006-09-05,297363.67691021657
405,2006-09-06,297324.69456217426
406,2006-09-07,294331.9768619485
407,2006-09-08,294029.14759530826
408,2006-09-11,294560.7833676682
409,2006-09-12,294791.070487711
410,2006-09-13,294197.5537413426
411,2006-09-14,292745.5991332885
412,2006-09-15,293777.8214413563
413,2006-09-18,295308.65222362836
414,2006-09-19,293384.08642149746
415,2006-09-20,292536.12126300804
416,2006-09-21,292552.0204459215
417,2006-09-22,291478.46563180914
418,2006-09-25,290873.87545803015
419,2006-09-26,290991.93629871705
420,2006-09-27,291173.1909541014
421,2006-09-28,291342.9141529264
422,2006-09-29,292837.58499085985
423,2006-10-09,295602.0355389858
424,2006-10-10,296363.96188510745
425,2006-10-11,298462.04652349895
426,2006-10-12,301591.20838357264
427,2006-10-13,301050.46469017223
428,2006-10-16,300117.2069654731
429,2006-10-17,299187.36501945724
430,2006-10-18,302089.79522951465
431,2006-10-19,301624.4620047278
432,2006-10-20,299638.6318307577
433,2006-10-23,296439.8617611016
434,2006-10-24,301412.81769835996
435,2006-10-25,301785.9426116464
436,2006-10-26,301841.74854323856
437,2006-10-27,300328.01119399344
438,2006-10-30,306491.48670291906
439,2006-10-31,309469.1338639886
440,2006-11-01,315057.71922714007
441,2006-11-02,317997.07796499546
442,2006-11-03,318101.15512619726
443,2006-11-06,325598.4039514848
444,2006-11-07,327759.7168131832
445,2006-11-08,320947.71850128815
446,2006-11-09,323636.3064976261
447,2006-11-10,313622.8757575832
448,2006-11-13,307015.7625146213
449,2006-11-14,306126.9163519243
450,2006-11-15,312976.1218934427
451,2006-11-16,310419.65442749835
452,2006-11-17,314712.4323239103
453,2006-11-20,318957.9971838135
454,2006-11-21,322229.9724630746
455,2006-11-22,324524.90161095
456,2006-11-23,326825.7214597868
457,2006-11-24,329694.53633775073
458,2006-11-27,336568.2151529588
459,2006-11-28,334825.02674904454
460,2006-11-29,338383.9689927898
461,2006-11-30,347088.4316654029
462,2006-12-01,351517.34725764755
463,2006-12-04,359646.69789945293
464,2006-12-05,360096.1982954462
465,2006-12-06,353709.6588554288
466,2006-12-07,357824.2310157069
467,2006-12-08,341135.0203672211
468,2006-12-11,355388.26277579955
469,2006-12-12,360728.2993524632
470,2006-12-13,363451.45574441
471,2006-12-14,372015.9989997588
472,2006-12-15,377177.05092872167
473,2006-12-18,381259.67953434674
474,2006-12-19,381138.639381571
475,2006-12-20,383292.07717062376
476,2006-12-21,375345.32129441097
477,2006-12-22,372651.70291535574
478,2006-12-25,380224.2715912963
479,2006-12-26,382452.58555901796
480,2006-12-27,386899.47724127903
481,2006-12-28,382974.68597220245
482,2006-12-29,393499.22715873824
483,2007-01-04,405716.59036397334
484,2007-01-05,423873.0481175758
485,2007-01-08,439534.4122226546
486,2007-01-09,453447.69880097406
487,2007-01-10,468351.43380385474
488,2007-01-11,466022.2387637052
489,2007-01-12,443906.06798510876
490,2007-01-15,465491.40848122875
491,2007-01-16,470074.45829578687
492,2007-01-17,478608.9305184417
493,2007-01-18,478018.61833263235
494,2007-01-19,491615.91932417505
495,2007-01-22,510607.14223060897
496,2007-01-23,520672.81749919616
497,2007-01-24,524449.7997146986
498,2007-01-25,502855.16444562114
499,2007-01-26,508912.4800975609
500,2007-01-29,525167.2423697163
501,2007-01-30,529139.9284540435
502,2007-01-31,494671.3182355489
503,2007-02-01,492002.3827786211
504,2007-02-02,470335.1778253262
505,2007-02-05,471062.68591742887
506,2007-02-06,478511.6601948887
507,2007-02-07,491057.7236875061
508,2007-02-08,503508.842868072
509,2007-02-09,500944.06827399106
510,2007-02-12,516068.5297302223
511,2007-02-13,526691.551579933
512,2007-02-14,538349.8634886348
513,2007-02-15,551783.6238098195
514,2007-02-16,556985.3047022524
515,2007-02-26,582396.32852272
516,2007-02-27,527648.2599621913
517,2007-02-28,551535.259271304
518,2007-03-01,534561.9580233194
519,2007-03-02,539778.8279771969
520,2007-03-05,528644.8749948416
521,2007-03-06,534149.1226612171
522,2007-03-07,547770.2349581537
523,2007-03-08,556281.43381291
524,2007-03-09,558754.8369481673
525,2007-03-12,565958.1935912573
526,2007-03-13,575333.248882498
527,2007-03-14,562895.9024592863
528,2007-03-15,573120.4789039565
529,2007-03-16,557240.8323248444
530,2007-03-19,561542.2935027885
531,2007-03-20,572170.116432209
532,2007-03-21,576498.633429392
533,2007-03-22,581124.07360476
534,2007-03-23,586499.0561452433
535,2007-03-26,603001.6878216887
536,2007-03-27,605424.371840403
537,2007-03-28,609648.7215503152
538,2007-03-29,592307.4662913893
539,2007-03-30,594268.9409478711
540,2007-04-02,615336.7571283608
541,2007-04-03,624963.0959622812
542,2007-04-04,628905.4959067792
543,2007-04-05,641278.8488303366
544,2007-04-06,651322.6954569527
545,2007-04-09,665920.7048368824
546,2007-04-10,677149.6376248793
547,2007-04-11,686703.7519346627
548,2007-04-12,695339.5413052675
549,2007-04-13,686998.5610208643
550,2007-04-16,704902.6647696029
551,2007-04-17,715433.7096666752
552,2007-04-18,736477.7717866334
553,2007-04-19,695902.230511228
554,2007-04-20,730407.6560219114
555,2007-04-23,764162.8976762604
556,2007-04-24,772746.5428487083
557,2007-04-25,768259.1643968471
558,2007-04-26,772795.9426606137
559,2007-04-27,761542.6360281864
560,2007-04-30,765624.8606579417
561,2007-05-08,801119.4110190516
562,2007-05-09,806826.7056076766
563,2007-05-10,824315.1836708657
564,2007-05-11,809284.4502846685
565,2007-05-14,811470.3570152037
566,2007-05-15,791106.0736525216
567,2007-05-16,811841.7647565489
568,2007-05-17,825844.7562029882
569,2007-05-18,829508.5532659797
570,2007-05-21,851908.3120169739
571,2007-05-22,863119.3553674265
572,2007-05-23,885329.0244130382
573,2007-05-24,868849.9260448597
574,2007-05-25,875495.3332284992
575,2007-05-28,896398.3754073648
576,2007-05-29,910565.2877038504
577,2007-05-30,822124.7194404666
578,2007-05-31,812677.9539279375
579,2007-06-01,768322.1550681057
580,2007-06-04,707294.4027430544
581,2007-06-05,717974.6096725236
582,2007-06-06,727858.4334457559
583,2007-06-07,744088.1757242336
584,2007-06-08,750854.2713633276
585,2007-06-11,767232.0829642509
586,2007-06-12,785194.2205400392
587,2007-06-13,789614.0940949054
588,2007-06-14,783675.881543115
589,2007-06-15,782774.4251390347
590,2007-06-18,795080.9452296142
591,2007-06-19,798420.7792007114
592,2007-06-20,785056.6216440119
593,2007-06-21,790364.2306935175
594,2007-06-22,767222.8042665657
595,2007-06-25,743471.9277680839
596,2007-06-26,747308.6397193525
597,2007-06-27,758039.8011389468
598,2007-06-28,738474.3077987975
599,2007-06-29,729509.1389139723
600,2007-07-02,731184.9756423456
601,2007-07-03,736291.4728564759
602,2007-07-04,732123.7834637392
603,2007-07-05,721219.9932474731
604,2007-07-06,723404.3408482774
605,2007-07-09,729320.9414810827
606,2007-07-10,725556.5156813147
607,2007-07-11,726382.6095964616
608,2007-07-12,727353.6296117466
609,2007-07-13,727027.0702376154
610,2007-07-16,722183.9633144948
611,2007-07-17,721662.931405718
612,2007-07-18,720778.7278517364
613,2007-07-19,719536.4905892366
614,2007-07-20,722694.6272202638
615,2007-07-23,728834.5529032904
616,2007-07-24,727673.1468989416
617,2007-07-25,735467.1433796111
618,2007-07-26,739638.6941405366
619,2007-07-27,745152.5885422986
620,2007-07-30,755185.583069363
621,2007-07-31,758626.0405958174
622,2007-08-01,742212.9986101408
623,2007-08-02,751377.1015078911
624,2007-08-03,757938.7927173672
625,2007-08-06,772854.489695292
626,2007-08-07,773246.4504589953
627,2007-08-08,765457.9983343158
628,2007-08-09,770532.478413779
629,2007-08-10,758885.0802690907
630,2007-08-13,758220.928331417
631,2007-08-14,764652.2504690011
632,2007-08-15,760510.3745496485
633,2007-08-16,759952.8333125897
634,2007-08-17,752011.5406199518
635,2007-08-20,785429.2522309691
636,2007-08-21,790613.2158033287
637,2007-08-22,797135.6401033875
638,2007-08-23,797314.2517029453
639,2007-08-24,802586.3559168975
640,2007-08-27,811378.9922312147
641,2007-08-28,808714.3085055978
642,2007-08-29,801615.6066520824
643,2007-08-30,830190.6747382031
644,2007-08-31,836441.680340881
645,2007-09-03,860165.4535829304
646,2007-09-04,851115.094703737
647,2007-09-05,863954.457619705
648,2007-09-06,881370.136644134
649,2007-09-07,855050.493680185
650,2007-09-10,860802.8633197868
651,2007-09-11,804639.3826194634
652,2007-09-12,814184.8893264359
653,2007-09-13,828947.7423054534
654,2007-09-14,844570.6266883868
655,2007-09-17,871748.581834811
656,2007-09-18,883965.3916607745
657,2007-09-19,863005.5602714192
658,2007-09-20,870235.9391363622
659,2007-09-21,852366.5766382071
660,2007-09-24,850689.4263361276
661,2007-09-25,832958.7912233685
662,2007-09-26,816875.6340562293
663,2007-09-27,829104.133708662
664,2007-09-28,846751.8804225515
665,2007-10-08,843296.5405708116
666,2007-10-09,851181.2578506789
667,2007-10-10,858141.8027134
668,2007-10-11,847194.4235480201
669,2007-10-12,837766.0119073489
670,2007-10-15,856218.7649558163
671,2007-10-16,858877.3053674194
672,2007-10-17,857160.4557768127
673,2007-10-18,848366.2146364275
674,2007-10-19,839875.51204359
675,2007-10-22,820528.2228847551
676,2007-10-23,822674.5875871063
